feature,family,fed_subset,price_action,source,available_from,description,coverage_cpi_discovery,coverage_nfp_discovery,in_models,rule_primitive_eligible
f_xau_dist_london_hi_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_xau_dist_london_lo_atrh,PRICE,False,False,Dukascopy XAUUSD,chiusura della candela,"rendimenti, volatilità, trend dell'oro (fase 1)",0.987,0.987,True,True
f_dxy_ret_4h_pct,DXYFX,False,False,"Dukascopy (6 valute, formula ICE)",chiusura della candela,DXY ricostruito,1.0,1.0,True,True
f_dxy_ret_24h_pct,DXYFX,False,False,"Dukascopy (6 valute, formula ICE)",chiusura della candela,DXY ricostruito,1.0,1.0,True,True
f_dxy_ret_5d_pct,DXYFX,False,False,"Dukascopy (6 valute, formula ICE)",chiusura della candela,DXY ricostruito,1.0,1.0,True,True
f_dxy_ret_20d_pct,DXYFX,False,False,"Dukascopy (6 valute, formula ICE)",chiusura della candela,DXY ricostruito,1.0,1.0,True,True
f_dxy_pos_20d,DXYFX,False,False,"Dukascopy (6 valute, formula ICE)",chiusura della candela,DXY ricostruito,1.0,1.0,True,True
f_usd_ret_1h_pct,DXYFX,False,False,Dukascopy,chiusura della candela,dollaro nell'ultima ora,1.0,1.0,True,True
f_y3m,RATES,True,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_y2y,RATES,False,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_y10y,RATES,False,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_r10y,RATES,False,False,U.S. Treasury (TIPS),D 18:00 ET,rendimento reale 10Y,1.0,1.0,True,True
f_slope_2s10s,RATES,False,False,U.S. Treasury,D 18:00 ET,pendenza della curva,1.0,1.0,True,True
f_y2_minus_3m,RATES,True,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_y2y_chg_1d,RATES,False,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_y2y_chg_5d,RATES,False,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_y10y_chg_5d,RATES,False,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_r10y_chg_5d,RATES,False,False,U.S. Treasury (TIPS),D 18:00 ET,rendimento reale 10Y,1.0,1.0,True,True
f_y2y_chg_20d,RATES,False,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_y3m_chg_126d,RATES,True,False,U.S. Treasury,D 18:00 ET,rendimenti 3M/2Y/10Y e variazioni,1.0,1.0,True,True
f_rates_age_days,esclusa,False,False,—,—,"età del dato (solo controllo qualità, esclusa dai modelli)",1.0,1.0,False,False
f_vix,VOLRISK,False,False,Cboe,D 17:00 ET,livello e variazioni del VIX,1.0,1.0,True,True
f_vix_chg_5d,VOLRISK,False,False,Cboe,D 17:00 ET,livello e variazioni del VIX,1.0,1.0,True,True
f_vix_pct_1y,VOLRISK,False,False,Cboe,D 17:00 ET,livello e variazioni del VIX,1.0,1.0,True,True
f_pa_h1_b1_dir,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b1_body,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b1_cloc,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b1_range_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b1_uwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b1_lwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b2_dir,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b2_body,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b2_cloc,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b2_range_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b2_uwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b2_lwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b3_dir,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b3_body,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b3_cloc,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b3_range_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b3_uwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_b3_lwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_inside,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_outside,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_bull_engulf,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_bear_engulf,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_hh,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_ll,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_hl,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_lh,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_seq3,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_upbars5,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_rsi14,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_roc10_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_bb_pctb,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_bb_width_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_donch_pos,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_donch_break,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_ema20_dist_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_ema20_slope_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h1_compress5,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b1_dir,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b1_body,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b1_cloc,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b1_range_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b1_uwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b1_lwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b2_dir,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b2_body,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b2_cloc,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b2_range_atr,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b2_uwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b2_lwick,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b3_dir,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b3_body,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
f_pa_h4_b3_cloc,PRICE,False,True,"Dukascopy XAUUSD M1 → M5, M15, H1, H4, D1",chiusura della candela prima del cutoff,"price action: direzione, corpo, stoppini, posizione di chiusura, inside/outside/engulfing, massimi e minimi crescenti, sequenze, RSI, ROC, Bollinger, Donchian, EMA20, compressione, livelli tondi, falsi breakout",1.0,1.0,True,True
